NNP4,VivianaNET,DianitaNET,MorochaNET,CentavitoNET,LeticiaNET,MuchiraNET,SorayaNET,VivianaAM,DianitaAM,MorochaAM,CentavitoAM,LeticiaAM,MuchiraAM,SorayaAM,VivianaPM, DianitaPM,MorochaPM,CentavitoPM,LeticiaPM,MuchiraPM,SorayaPM
91,13.2,14,14,11.6,8.4,13.8,8.8,9.2,9,9.8,3.4,5.2,5.6,11.4,4,5,4.2,8.2,3.2,3.2,2.4
92,12.2,9,13.8,14.4,10.4,14.2,8.4,7.8,6,8.8,5.2,8,6,10.2,4.4,3,5,9.2,2.4,2.4,4
93,10.8,14,13,15,12.2,12.2,12.2,6.4,8,9.2,5.6,7.2,7.8,9.4,4.4,6,3.8,9.4,5,4.4,2.8
94,10.8,9,10.4,13.8,11.4,10.6,8.2,6.8,5,7,4.6,6.8,5,7,4,4,3.4,9.2,4.6,3.2,3.6
95,10.4,14,10.8,14,11.2,12.4,8.6,5.9,8,8,4.8,7,5.8,8,4.5,6,2.8,9.2,4.2,2.8,4.4
96,8.2,11.2,13,13,11.4,21.2,8.2,4.6,7.2,7,3.4,7.3,5.4,11.2,3.6,4,6,9.6,4.1,2.8,10
97,11.4,12,17,13.4,9.6,20.6,7.4,8,8,9,3.8,5.8,4.4,13.4,3.4,4,8,9.6,3.8,3,7.2
98,13,11.2,13.6,14.8,11,13.4,7.8,8,8,8.8,4.6,6.8,5.8,9,5,3.2,4.8,10.2,4.2,2,4.4
99,10.6,11,14.2,14.6,13.2,15.6,7.8,7,7,10.2,4.6,9.4,5.2,10.4,3.6,4,4,10,3.8,2.6,5.2
100,10.4,10,10.8,13.8,12,5,6.4,6.8,7,7.8,3.8,9,4,0,3.6,3,3,10,3,2.4,5
101,10.81,12,12.8,13.9,11.2,16,9.4,7.41,6,7.8,3.8,7.2,5.8,10.2,3.4,6,5,10.1,4,3.6,5.8
102,11.3,11.2,12.2,13.4,9.8,13,9,7.5,8,8.8,3.4,8,6,10,3.8,3.2,3.4,10,1.8,3,3
103,11.4,13.2,13.7,12.8,13.8,8,8.1,6.8,9,8.8,3.4,8.7,5.5,4.4,4.6,4.2,4.9,9.4,5.1,2.6,3.6
104,11,12.6,13.2,12.8,7.6,11.8,8,6.8,8.8,9,3.8,3.4,5.4,6.8,4.2,3.8,4.2,9,4.2,2.6,5
105,13.6,16,13.8,11.6,11,6.8,0,8.6,12,9.4,2.8,8,0,3,5,4,4.4,8.8,3,0,3.8
106,9.6,11.8,11.2,11.6,9.8,15.1,10.6,5,7,6,3.8,6,4.6,7.4,4.6,4.8,5.2,7.8,3.8,6,7.7
107,12.4,8.2,5.2,12.4,10.5,16.6,6.8,8,4.2,2.6,4.2,7,4.8,9.2,4.4,4,2.6,8.2,3.5,2,7.4
108,10.6,15,12,11.9,13,14,6,7.4,8,8,2.6,9.4,3.8,8.4,3.2,7,4,9.3,3.6,2.2,5.6
109,12,11,13.2,12.5,15.8,16,6.6,8.3,6,8.2,3.3,11.4,3.8,9.4,3.7,5,5,9.2,4.4,2.8,6.6
110,7.8,13.6,10.4,12.6,14.1,13,5,5.2,8,8.3,3.4,10.1,4,6.2,2.6,5.6,2.1,9.2,4,1,6.8
111,9.8,14.4,8.8,13,10.2,14.2,8.6,7,9,6,3.6,5,5,9,2.8,5.4,2.8,9.4,5.2,3.6,5.2
112,13.4,14,0,10.2,12.8,11,4.4,8,8,0,3.6,9.2,1.8,11,5.4,6,0,6.6,3.6,2.6,0
113,11.8,10.6,13.2,13.8,16.2,12.2,7.2,8,8.2,9,5.2,10,3.2,4.8,3.8,2.4,4.2,8.6,6.2,4,7.4
114,11.4,11,10.8,13,14.6,15.8,8.2,5.8,7,8.2,3.8,9.8,5.2,11,5.6,4,2.6,9.2,4.8,3,4.8
115,13,11,10.8,12.3,12.2,14.2,7.2,9,6.2,8.2,4.2,7.2,4.2,10.8,4,4.8,2.6,8.1,5,3,3.4
116,11.9,13.8,13.4,12.3,12.2,12.8,7,7.4,9.2,10.2,3.9,10,3.8,7,4.5,4.6,3.2,8.4,2.2,3.2,5.8
117,9.6,14,13.6,14.4,13.4,15,6.3,6.8,8.8,9.8,5.6,8.6,3.6,10,2.8,5.2,3.8,8.8,4.8,2.7,5
118,12.4,15.5,12.2,10.6,12.6,16.4,5.6,8,7.4,8.4,3.8,8.2,5.6,11,4.4,8.1,3.8,6.8,4.4,0,5.4
119,12.2,15,7.8,15,11.8,13,9.4,8.6,10,4.6,7.8,7.6,6.2,9,3.6,5,3.2,7.2,4.2,3.2,4
