N,Hour,#D,#M,Viviana,Soraya,Dianita,Morocha,Centavito,Muchira,Leticia
323,AM,162,6,7.8,3.5,7.4,4.2,8,3.8,6.4
324,PM,162,6,3.4,3.2,4.2,5.4,4.4,2.4,7
325,AM,163,6,7.2,5.2,6.8,3.2,9,3.4,6
326,PM,163,6,4.8,3,4,8.2,4.2,2.2,4.2
327,AM,164,6,8.6,5,7.8,4.6,8,3.4,7
328,PM,164,6,5,3,3.2,8,4,3.6,3.4
329,AM,165,6,7.7,5,6.8,3.4,9,3.8,9.2
330,PM,165,6,4.8,2.4,3,8.8,4.2,2.4,0
331,AM,166,6,10.6,4.4,7.7,1.2,7.4,3.5,7.6
332,PM,166,6,4.2,1.6,3.5,7.2,3.8,2.4,4.2
333,AM,167,6,8.6,4.2,7,4,12,3.4,9.2
334,PM,167,6,2.2,2,4.2,7.4,3.2,2,4
335,AM,168,6,9,4.4,9.6,5,9.1,5,8.6
336,PM,168,6,3.2,2.2,3.4,7.6,3.2,2.4,3.8
337,AM,169,6,5.8,5.2,7.2,4.4,9,3.6,7
338,PM,169,6,4.4,2.4,3,7.6,4.4,1.6,3.8
339,AM,170,6,8.8,4.2,10,3,11,5,9
340,PM,170,6,3.6,2.2,3,8.8,3.2,1.6,4.4
341,AM,171,6,8.6,4.8,7.2,4,9.4,2.4,7
342,PM,171,6,4.2,2.4,3.2,9.1,4,1.4,3.4
343,AM,172,6,7.8,4.4,7.2,3.5,8.2,4,8
344,PM,172,6,4.4,2.2,4.2,11.6,3.8,1.8,3
345,AM,173,6,7.2,4.6,6.8,3,7.8,4.5,8.3
346,PM,173,6,4.2,2.4,3.1,9.2,3.5,2.1,3.2
347,AM,174,6,9,5.2,6.8,3,8.8,3.2,7.8
348,PM,174,6,3.2,2.4,2.8,11,3,2.4,3.4
349,AM,175,6,7.8,4.6,8,3.6,9.6,4.4,7.8
350,PM,175,6,3.2,2.2,3,10,3,2,3.2
351,AM,176,6,8.4,3.8,7.8,6.2,7,4,8.4
352,PM,176,6,3,3.8,3.4,10,4.6,2,3.6
353,AM,177,6,8.8,3,9,4,8,4,7
354,PM,177,6,4,2.2,4.4,11,4.8,2.2,2.8
355,AM,178,6,7,4.2,6.4,4,7.4,5,8.2
356,PM,178,6,4.2,2.6,3.8,11,3,2.6,4.4
357,AM,179,6,7,4.2,6,2,9,4.8,6.8
358,PM,179,6,4.6,2.4,2,11,4.4,2,4.2
359,AM,180,6,7,5,8.4,1.2,7.3,3.4,8
360,PM,180,6,2.2,3,2.9,12,3.9,2.2,4.6
361,AM,181,6,9,5,7,2,8.2,4.8,8.2
362,PM,181,6,3.4,1.4,2.8,10.2,3.2,2,3.8
363,AM,182,6,8.2,4,7,4.8,5,3.8,10
364,PM,182,6,4.4,1.2,3,10.2,3,1.2,2.4
365,AM,183,6,5.8,3.8,7.4,3.4,9.2,3.2,10.8
366,PM,183,6,3,1.8,4.2,9.6,4,2.2,4.2
367,AM,184,7,7.6,3.4,7.4,2,8.8,3.8,7.6
368,PM,184,7,4.2,2.2,3.4,12,4,2,2
369,AM,185,7,8.2,4,8.4,3,8.6,3.6,9.2
370,PM,185,7,4.8,6,3.8,9.9,3.4,1.8,3.4
371,AM,186,7,8.5,4,7.8,3.6,8,3.6,10
372,PM,186,7,4.3,3,4.4,7,4.8,2.2,5
373,AM,187,7,9,4.8,7.5,3,8.4,3.3,8.2
374,PM,187,7,4,1.8,2.9,9.8,3.7,2.3,4.8
375,AM,188,7,9,4.6,6.6,2.2,7.6,3.8,8.6
376,PM,188,7,3.8,1.8,2.6,8.4,3.2,1.8,4.8
377,AM,189,7,7.4,4.8,7.4,4.4,8.6,4.4,8.8
378,PM,189,7,3.8,1.6,3,11,3.2,1,3
379,AM,190,7,6.2,5,6.8,4.4,7.8,3,10.2
380,PM,190,7,5.2,2.4,2.2,10.2,3,2.8,4.4
381,AM,191,7,5.6,7.2,5.8,3.6,8.6,4,8.6
382,PM,191,7,4.2,3.2,3.2,10,4,2.2,9.2
383,AM,192,7,6.6,3.2,5.4,5,5.8,3.8,7
384,PM,192,7,6,2,3.2,8.1,5.8,2.2,4
385,AM,193,7,9.8,7,4,7.1,7.6,4,8.4
386,PM,193,7,4,2,2.2,9.8,2.8,2.4,4.4
387,AM,194,7,8.8,3.8,6.5,2.6,6.9,3.2,8.2
388,PM,194,7,5.2,2,3.2,11.4,2.5,2.2,4.2
389,AM,195,7,7.8,3.6,7,2,7.6,3.8,9.2
390,PM,195,7,2.8,1.8,3,10.4,4.2,2.2,3.6
391,AM,196,7,8,3.8,5.8,4.2,8,4.2,7.4
392,PM,196,7,5.8,2,1.8,9,3.4,1.2,3.8
393,AM,197,7,8,3,7,4.6,7.8,2.8,7.4
394,PM,197,7,4.2,1.8,3.6,8.8,2.6,1.8,4.8
395,AM,198,7,8.4,3.2,6.9,4.2,7.8,3.6,7
396,PM,198,7,4.8,2,3.2,9.4,2,1.8,3.2
397,AM,199,7,9.4,3.2,6.6,3.6,6.6,4,7
398,PM,199,7,4,2.2,3.4,9.8,3.4,1,3
399,AM,200,7,9.9,3.4,7.6,4.6,7.2,4.2,6.6
400,PM,200,7,4.7,3.2,3.4,9,4,2.2,3.8
401,AM,201,7,7.8,0,7.4,3.4,7,3.4,6.9
402,PM,201,7,4.4,2.6,2.9,11,3.3,2,4
403,AM,202,7,11,4.6,7.2,3.2,7,3.6,5
404,PM,202,7,3.8,3.6,3,8.6,3.2,1.8,4
405,AM,203,7,7.4,7,7.2,4.4,7.8,3.8,5.6
406,PM,203,7,5.4,3,2.6,9.4,2.6,1.8,3.8
407,AM,204,7,8.2,5.2,7.4,4.2,7,4.4,7.2
408,PM,204,7,5,2,3.2,7.4,3,1.8,3
409,AM,205,7,10,2.4,7.8,5.2,6.2,4.2,6.2
410,PM,205,7,3,3.2,3.2,9.8,4,1.8,3.2
411,AM,206,7,9,7,9,4.6,7.8,4.2,6
412,PM,206,7,5.6,2,3.6,8.9,3.4,2,2.4
413,AM,207,7,7.9,5.2,8.2,5.4,6.6,3,5.2
414,PM,207,7,5.7,7,3,8.4,3.6,2.2,3.4
415,AM,208,7,8.4,7.1,6.7,3,7.6,3.6,5.7
416,PM,208,7,4.6,4.2,4,9,3.5,1.7,3
417,AM,209,7,9.6,5.8,6.8,2.8,7,4,6.6
418,PM,209,7,3.6,4,3.2,9.8,3,1.6,2.2
419,AM,210,7,9.8,6.6,8,5.4,7.4,4,7.4
420,PM,210,7,5.8,4,3.2,8.8,3,1.8,3
421,AM,211,7,8.8,6,11,3.2,8,2.8,6.8
422,PM,211,7,5.2,6,3.2,8.6,2.8,2.2,2.8
423,AM,212,7,7.2,6.8,10,4.4,7.2,4.6,5.4
