N298,AndreaNET298,PesoAndrea298,PopoAndrea298,GuapaNET298,PesoGuapa298,PopoGuapa298
166,15.4,456.6724378,45.66724378,13.4,481.5742324,48.15742324
167,16.6,453.0556178,45.30556178,12,484.8451807,48.48451807
168,15.2,449.5598202,44.95598202,11.4,487.9256236,48.79256236
169,13.3,446.2252813,44.62252813,12.4,490.7696215,49.07696215
170,15.6,443.0922368,44.30922368,12.4,493.3312348,49.33312348
171,15.8,440.2007137,44.02007137,11.6,495.5645238,49.55645238
172,13.6,437.572705,43.7572705,10.3,497.4235489,49.74235489
173,13.8,435.198442,43.5198442,10.9,498.8623705,49.88623705
174,13.6,433.0649164,43.30649164,11.2,499.8350488,49.98350488
175,13.6,431.1591199,43.11591199,12,500.3011313,50.03011313
176,13.2,429.4680445,42.94680445,13.2,500.2677872,50.02677872
177,13.6,427.9786817,42.79786817,10.2,499.7667218,49.97667218
178,10.6,426.6780236,42.66780236,12.8,498.8298471,49.88298471
179,13.8,425.5530617,42.55530617,7.9,497.4890753,49.74890753
180,13.6,424.5907878,42.45907878,13.6,495.7763186,49.57763186
181,14.4,423.7781939,42.37781939,11.4,493.7234892,49.37234892
182,11.4,423.1022716,42.31022716,11.6,491.3624992,49.13624992
183,12.4,422.5500127,42.25500127,11.6,488.7252609,48.87252609
184,13.8,422.108409,42.2108409,12.8,485.8436863,48.58436863
185,9.6,421.7644523,42.17644523,12.4,482.7496877,48.27496877
186,12,421.5051343,42.15051343,11.9,479.4751773,47.94751773
187,13.8,421.3174469,42.13174469,12.3,476.0520671,47.60520671
188,12.4,421.1883817,42.11883817,11.6,472.5122695,47.25122695
189,13.2,421.1049307,42.11049307,11.4,468.8876965,46.88876965
190,13.4,421.0540855,42.10540855,11.6,465.2102603,46.52102603
191,13,421.022838,42.1022838,11.6,461.5118731,46.15118731
192,12.2,420.9981835,42.09981835,11,457.824447,45.7824447
193,13.4,420.9710651,42.09710651,12.2,454.1798943,45.41798943
194,11.6,420.945036,42.0945036,12,450.6101272,45.06101272
