N274,Cen_L274,WCen274,Cen_E274,Dian_L274,WDian274,Dian_E274,Leti_L274,WLeti274,Leti_E274,Mor_L274,WMor274,Mor_E274,Muc_L274,WMuc274,Muc_E274,Sor_L274,WSor274,Sor_E274,Viv_L274,WViv274,Viv_E274
188,10.6,427,21.35,6.4,475,23.75,10.8,391,19.55,9.2,620,31,13.4,331,16.55,5.6,453,22.65,12.8,498,24.9
189,15.4,427,21.35,6.4,475,23.75,11.8,391,19.55,10.4,620,31,11.8,331,16.55,5.4,453,22.65,11.2,498,24.9
190,14.6,427,21.35,7.4,475,23.75,10.8,391,19.55,9,620,31,14.6,331,16.55,5.8,453,22.65,11.4,498,24.9
191,13.6,427,21.35,10.4,475,23.75,12.6,391,19.55,9,620,31,17.8,331,16.55,6.2,453,22.65,9.8,498,24.9
192,13.1,427,21.35,5.2,475,23.75,11.6,391,19.55,8.6,620,31,11,331,16.55,6,453,22.65,12.6,498,24.9
193,16.9,427,21.35,9,475,23.75,10.4,391,19.55,6.2,620,31,12.8,331,16.55,6.4,453,22.65,13.8,498,24.9
194,14,427,21.35,5.8,475,23.75,9.4,391,19.55,9.7,620,31,12.4,331,16.55,5.4,453,22.65,14,498,24.9
195,12.4,427,21.35,5.4,475,23.75,11.8,391,19.55,10,620,31,12.8,331,16.55,6,453,22.65,10.6,498,24.9
196,13.2,427,21.35,5.8,475,23.75,11.4,391,19.55,7.6,620,31,11.2,331,16.55,5.4,453,22.65,13.8,498,24.9
197,13.4,427,21.35,4.8,475,23.75,10.4,391,19.55,10.6,620,31,12.2,331,16.55,4.6,453,22.65,12.2,498,24.9
198,13.6,427,21.35,5.2,475,23.75,9.8,391,19.55,10.1,620,31,10.2,331,16.55,5.4,453,22.65,13.2,498,24.9
199,13.4,427,21.35,5.4,475,23.75,10,391,19.55,10,620,31,10,331,16.55,5,453,22.65,13.4,498,24.9
200,13.6,427,21.35,6.6,475,23.75,11.2,391,19.55,11,620,31,10.4,331,16.55,6.4,453,22.65,14.6,498,24.9
201,14.4,427,21.35,2.6,475,23.75,10.3,391,19.55,10.3,620,31,10.9,331,16.55,5.4,453,22.65,12.2,498,24.9
